ZZ,ag-subsist,ag-exp+ind,sylvicult,ind-alim,biens-cons,biens-int,cim-int,biens-cap,construct,services,publiques
m0,2.461,8.039,0.023,17.961,37.062,138.57,49.616,134.72,0,74.439,0
e0,4.594,125.07,22.337,23.451,5.864,101.33,10.501,3.838,0,81.626,0
xd0,330.48,131.45,29.503,72.024,118.43,284.38,34.169,10.298,174.12,615.79,163.98
k,495.73,170.89,73.76,140.0,236.87,853.13,102.51,20.6,435.29,769.73,180.36
depr,0.0246,0.0472,0.0244,0.0144,0.0212,0.0335,0.0335,0.0111,0.0232,0.0637,0.0637
rhoc,1.5,0.9,0.4,1.25,1.25,0.5,0.75,0.4,0.4,0.4,0.4
rhot,1.5,0.9,0.4,1.25,1.25,0.5,0.75,0.4,0.4,0.4,0.4
eta,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
pd0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tm0,0.2205,0.233,0.278,0.3534,0.3826,0.1768,0.2633,0.268,0,0,0
itax,0.002,0.191,0.057,0.038,0.096,0.026,0.014,0.029,0.034,0.076,0
cles,0.2744,0.00445,0,0.05599,0.14099,0.17738,0,0,0.004,0.31921,0.02358
gles,0,0,0,0,0,0,0,0,0,0,1.0
kio,0.11,0.09,0.06,0.01,0.04,0.14,0.02,0.01,0.08,0.34,0.1
dstr,0.012203,0.026694,0.034742,0.044291,0.059958,0.012287,0,0.042047,0,0,0
dst,4.033,3.509,1.025,3.19,7.101,3.494,0,0.433,0,0,0
id,6.71,0,0,0,0,0,0,113.36,138.13,0,0
