IO,ag-subsist,ag-exp+ind,sylvicult,ind-alim,biens-cons,biens-int,cim-int,biens-cap,construct,services,publiques
ag-subsist,0.03046,0,0,0.30266,0.00206,0,0,0,0,0.0412,0
ag-exp+ind,0,0.01518,0,0.02043,0.01123,0.00669,0,0,0,0,0
sylvicult,0,0,0,0.00243,0,0.02106,0,0,0,0,0
ind-alim,0.00341,0.00629,0,0.03241,0.01234,0.00503,0,0,0,0.00092,0.01532
biens-cons,0,0,0,0.00105,0.05385,0.00435,0,0,0,0.00103,0.00338
biens-int,0.00676,0.12385,0.02095,0.03794,0.08309,0.23461,0.18289,0.01567,0.14665,0.00929,0.08466
cim-int,2e-05,0.00025,0.00017,0.11238,0.05095,0.05593,0.27608,0.11722,0.18643,0.00018,0
biens-cap,0.00041,0.00971,0.02427,0.00931,0.01229,0.05259,0.02053,0.05013,0.02622,0.00389,0
construct,0.00472,0.00113,0.00318,0.10456,0.01831,0.05302,0.00172,0.00031,0.01457,0.00385,0.00394
services,0.00375,0.30649,0.26666,0.101,0.26072,0.23006,0.11793,0.09922,0.13692,0.13728,0.24145
publiques,0.00022,0.00293,0.00327,0.00536,0.00539,0.00957,0.00486,0.00081,0.00447,0.00219,0
